stage,config,axis,prer,r,postr,label,model,device,dim,weights,MRR,MRR_prompted,Hit@1,Hit@5,File@5,accuracy,judge_similarity,judge_correctness,judge_completeness,judge_faithfulness,judge_mean,n_chunks,parse_time_sec,rerank_time_sec,llm_calls,elapsed_sec,fixed_pipeline
2_parser_semantic,chonkie_semantic_embed3large,,,,,Chonkie Semantic (text-embedding-3-large Azure),,,,,0.6948333333333332,,0.63,0.7966666666666666,0.9266666666666666,,,,,,,6044,2190.992731809616,,,,"loader=pymupdf, embed=gemma-300m, hybrid 3:7"
2_parser_semantic,chonkie_semantic_embed3small,,,,,Chonkie Semantic (text-embedding-3-small Azure),,,,,0.6908888888888889,,0.62,0.7933333333333333,0.92,,,,,,,6073,2347.97434926033,,,,"loader=pymupdf, embed=gemma-300m, hybrid 3:7"
2_parser_semantic,chonkie_semantic_500,,,,,Chonkie SemanticChunker 500,,,,,0.693888888888889,,0.6233333333333333,0.8033333333333333,0.9233333333333333,,,,,,,5976,395.9329059123993,,,,"loader=pymupdf, embed=gemma-300m, hybrid 3:7"
3_embedding,e5-mistral-7b,,,,,,,,4096,,0.2016,0.2111,0.1433,0.2867,0.6333,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,me5-large-instruct,,,,,,,,1024,,0.5576,0.6156,0.4833,0.6700,0.8333,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,gemma-embed-300m,,,,,,,,768,,0.6350,0.6247,0.5600,0.7167,0.8400,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,jina-v5-small-retrieval,,,,,,,,1024,,0.4370,0.4370,0.3700,0.5367,0.7133,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,koe5,,,,,,,,1024,,0.6422,0.6437,0.5733,0.7367,0.8433,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,jina-v4-code,,,,,,,,4096,,0.5438,0.4968,0.4600,0.6500,0.8200,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,jina-v5-nano-matching,,,,,,,,512,,0.5238,0.5238,0.4333,0.6267,0.8100,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,qwen3-embed-8b,,,,,,,,4096,,0.6502,0.6541,0.5767,0.7500,0.8567,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,snowflake-arctic-ko,,,,,,,,1024,,0.6516,0.6620,0.5900,0.7367,0.8500,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,harrier-0.6b,,,,,,,,1024,,0.5810,0.5810,0.5067,0.6633,0.8100,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,jina-v4-retrieval,,,,,,,,4096,,0.6359,0.6434,0.5633,0.7300,0.8633,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,gemini-embed-2,,,,,,,,3072,,0.6210,0.6210,0.5467,0.7100,0.8700,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,harrier-27b,,,,,,,,5376,,0.017,0.017,0.01,0.0233,0.1567,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,upstage-solar-large,,,,,,,,4096,,0.6325,0.6771,0.5567,0.7333,0.8467,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,harrier-270m,,,,,,,,640,,0.5052,0.5052,0.4233,0.6133,0.8133,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,me5-large,,,,,,,,1024,,0.612,0.6276,0.5333,0.7167,0.8367,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,mxbai-embed-large,,,,,,,,1024,,0.1533,0.1639,0.1200,0.2067,0.4667,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,bge-mult-gemma2,,,,,,,,3584,,0.5684,0.5684,0.4967,0.6633,0.8167,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,jina-v3,,,,,,,,1024,,0.5824,0.5824,0.5033,0.6967,0.84,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,pixie-rune-v1,,,,,,,,1024,,0.6581,0.6581,0.5967,0.7433,0.8500,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,nomic-embed-v2-moe,,,,,,,,768,,0.6027,0.6167,0.5367,0.7067,0.8233,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,llama-embed-nemotron-8b,,,,,,,,4096,,0.4404,0.4404,0.3533,0.5600,0.8033,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,bge-m3,,,,,,,,1024,,0.6227,0.6227,0.5467,0.7333,0.8500,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,cohere-embed-v4,,,,,,,,1536,,0.6516,0.6674,0.5800,0.7533,0.8600,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,ko-sroberta,,,,,,,,768,,0.4935,0.4935,0.41,0.6133,0.8267,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,snowflake-arctic-l-v2,,,,,,,,1024,,0.6204,0.6330,0.5500,0.7033,0.8400,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,granite-278m,,,,,,,,768,,0.5657,0.5657,0.4867,0.6600,0.7933,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,jina-code-1.5b,,,,,,,,1024,,0.3621,0.3621,0.2667,0.4900,0.7133,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,voyage-3-large,,,,,,,,1024,,0.6873,0.6899,0.6233,0.7633,0.8733,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,qwen3-embed-0.6b,,,,,,,,1024,,0.6163,0.6295,0.5333,0.7367,0.8367,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,qwen3-embed-4b,,,,,,,,4096,,0.6512,0.6611,0.5833,0.7400,0.8633,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,granite-107m,,,,,,,,768,,0.5330,0.5330,0.4467,0.6600,0.7933,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,labse,,,,,,,,768,,0.3320,0.3320,0.2500,0.4567,0.6867,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,voyage-multilingual-2,,,,,,,,1024,,0.6436,0.6604,0.5833,0.7300,0.8600,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,kosimcse-roberta,,,,,,,,768,,0.4483,0.4483,0.3533,0.56,0.7767,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,openai-embed-3-small,,,,,,,,1536,,0.5417,0.5417,0.4533,0.6600,0.7767,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,nemotron-embed-8b,,,,,,,,4096,,0.4404,0.4404,0.3533,0.5600,0.8033,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,kure-v1,,,,,,,,1024,,0.6687,0.6687,0.6133,0.7367,0.8533,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,gemini-embed-001,,,,,,,,3072,,0.6518,0.6443,0.5867,0.7400,0.8700,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
3_embedding,openai-embed-3-large,,,,,,,,3072,,0.6008,0.6008,0.5233,0.7167,0.8400,,,,,,,,,,,,"parser=pymupdf4llm 500/100, FAISS, top-5"
4_retriever,hybrid_5_5,,,,,,,,,,0.7137222222222223,,0.6533333333333333,0.8,0.9166666666666666,,,,,,,4556,,,,,"loader=pymupdf, chunk=300/50, embed=gemma-300m"
4_retriever,bm25_kiwi,,,,,,,,,,0.6783333333333332,,0.6133333333333333,0.7733333333333333,0.8933333333333333,,,,,,,4556,,,,,"loader=pymupdf, chunk=300/50, embed=gemma-300m"
4_retriever,hybrid_ws_5_5,,,,,,,,,,0.6496111111111111,,0.59,0.7433333333333333,0.88,,,,,,,4556,,,,,"loader=pymupdf, chunk=300/50, embed=gemma-300m"
4_retriever,bm25_whitespace,,,,,,,,,,0.5343888888888888,,0.48333333333333334,0.6266666666666667,0.7766666666666666,,,,,,,4556,,,,,"loader=pymupdf, chunk=300/50, embed=gemma-300m"
4_retriever,hybrid_7_3,,,,,,,,,,0.7046111111111111,,0.64,0.8033333333333333,0.9166666666666666,,,,,,,4556,,,,,"loader=pymupdf, chunk=300/50, embed=gemma-300m"
4_retriever,hybrid_3_7,,,,,,,,,,0.7170555555555554,,0.6533333333333333,0.8033333333333333,0.9166666666666666,,,,,,,4556,,,,,"loader=pymupdf, chunk=300/50, embed=gemma-300m"
4_retriever,dense,,,,,,,,,,0.6816111111111114,,0.59,0.8133333333333334,0.9166666666666666,,,,,,,4556,,,,,"loader=pymupdf, chunk=300/50, embed=gemma-300m"
4-1_pre_retriever,query2doc,,,,,,,,,,0.6987777777777778,,0.63,0.8033333333333333,0.9133333333333333,,,,,,,,,,300,29.387732982635498,"Hybrid 3:7 + Stage 4-2 winner reranker, LLM=Azure GPT-5.4"
4-1_pre_retriever,decompose,,,,,,,,,,0.7110555555555556,,0.6366666666666667,0.8133333333333334,0.9166666666666666,,,,,,,,,,300,54.663933992385864,"Hybrid 3:7 + Stage 4-2 winner reranker, LLM=Azure GPT-5.4"
4-1_pre_retriever,query_expansion,,,,,,,,,,0.7075555555555556,,0.6333333333333333,0.81,0.92,,,,,,,,,,300,16.467724084854126,"Hybrid 3:7 + Stage 4-2 winner reranker, LLM=Azure GPT-5.4"
4-1_pre_retriever,step_back,,,,,,,,,,0.6031666666666667,,0.5033333333333333,0.7566666666666667,0.9133333333333333,,,,,,,,,,300,29.794617891311646,"Hybrid 3:7 + Stage 4-2 winner reranker, LLM=Azure GPT-5.4"
4-1_pre_retriever,hyde,,,,,,,,,,0.7124444444444445,,0.6433333333333333,0.81,0.92,,,,,,,,,,300,27.33432102203369,"Hybrid 3:7 + Stage 4-2 winner reranker, LLM=Azure GPT-5.4"
4-1_pre_retriever,baseline,,,,,,,,,,0.7170555555555554,,0.6533333333333333,0.8033333333333333,0.9166666666666666,,,,,,,,,,0,23.78926706314087,"Hybrid 3:7 + Stage 4-2 winner reranker, LLM=Azure GPT-5.4"
4-1_pre_retriever,multi_query_para,,,,,,,,,,0.7189444444444445,,0.66,0.81,0.9166666666666666,,,,,,,,,,300,63.22646379470825,"Hybrid 3:7 + Stage 4-2 winner reranker, LLM=Azure GPT-5.4"
4-1_pre_retriever,query_rewrite,,,,,,,,,,0.6951111111111111,,0.6166666666666667,0.8033333333333333,0.9166666666666666,,,,,,,,,,300,14.634305000305176,"Hybrid 3:7 + Stage 4-2 winner reranker, LLM=Azure GPT-5.4"
